variable_name,variable_type,unknown/012001062266,unknown/012001062463,unknown/012001062480,unknown/012001062493,unknown/012001062394,unknown/012001062509,unknown/012001062343,unknown/012001062472,unknown/012001062353,unknown/012001062387,unknown/012001061910,unknown/012001062411,unknown/012001062471,unknown/012001061912,unknown/012001061920,unknown/012001062216,unknown/012001062356,unknown/012001062474,unknown/012001062664,unknown/012001062468,unknown/012001061915,unknown/012001062461,unknown/012001062234,unknown/012001062382,unknown/012001062380,unknown/012001062506,unknown/012001061908,unknown/012001062482,unknown/012001062338,unknown/012001062522,unknown/012001062391,unknown/012001062481,unknown/012001062274,unknown/012001062286,unknown/012001061905,unknown/012001062371,unknown/012001062383,unknown/012001062521,unknown/012001062281,unknown/012001062520,unknown/012001061834,unknown/012001062511,unknown/012001062423,unknown/012001062503,unknown/012001062349,unknown/012001062376,unknown/012001068755,unknown/012001068810,unknown/012001068757,unknown/012001068776,unknown/012001070992,unknown/012001070998,unknown/012001071664,unknown/012001073829,unknown/012001076516,unknown/012001073822,unknown/012001074836,unknown/012001074862,unknown/012001074894,unknown/012001074898,unknown/012001061933,unknown/012001031024,unknown/012001076566,unknown/012001076595,unknown/012001075789,unknown/012001076289,unknown/012001076060,unknown/012001076250,unknown/012001076285,unknown/012001076357,unknown/012001071665,unknown/012001076323,unknown/012001075738,unknown/012001076029,unknown/012001075644,unknown/012001075646,unknown/012001075986,unknown/012001076487,unknown/012001075737,unknown/012001076433,unknown/012001075947,unknown/012001076246,unknown/012001075828,unknown/012001076413,unknown/012001075785,unknown/012001076434,unknown/012001075126,unknown/012001075985,unknown/012001075780,unknown/012001076568,unknown/012001076244,unknown/012001076431,unknown/012001075652,unknown/012001075942,unknown/012001075124,unknown/012001076118,unknown/012001076012,unknown/012001076232
$FW-MGMT,ip-netmask,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#,#inherited#
$eth3,ip-netmask,10.20.208.6/23,10.20.208.6/23,10.25.16.6/23,10.25.16.6/23,10.230.128.6/23,10.230.128.6/23,10.34.192.6/23,10.34.192.6/23,10.61.128.6/24,10.61.128.6/24,10.23.192.6/24,10.23.192.6/24,10.49.66.6/23,10.49.66.6/23,10.61.112.6/23,10.61.112.6/23,10.197.176.6/23,10.197.176.6/23,10.45.128.6/21,10.45.128.6/21,10.17.104.6/23,10.17.104.6/23,10.193.128.6/23,10.193.128.6/23,10.55.144.6/21,10.55.144.6/21,10.50.144.6/23,10.50.144.6/23,10.190.56.6/21,10.190.56.6/21,10.88.208.6/21,10.88.208.6/21,10.30.232.6/21,10.30.232.6/21,10.47.112.6/21,10.47.112.6/21,10.177.216.6/21,10.177.216.6/21,10.198.0.67/23,10.198.0.67/23,10.200.64.6/23,10.200.64.6/23,10.27.0.6/23,10.27.0.6/23,10.27.184.6/21,10.27.184.6/21,10.227.186.27/24,10.227.186.27/24,10.227.36.27/24,10.227.36.27/24,10.73.210.6/24,10.73.210.6/24,10.23.168.6/21,10.23.168.6/21,10.26.192.6/21,10.26.192.6/21,10.90.128.6/21,10.90.128.6/21,10.130.32.9/21,10.130.32.9/21,10.121.127.11/24,10.121.127.11/24,10.74.240.6/23,10.74.240.6/23,10.75.32.6/20,10.75.32.6/20,10.185.208.6/23,10.185.208.6/23,10.36.232.6/23,10.36.232.6/23,10.109.200.6/21,10.109.200.6/21,10.29.136.6/23,10.29.136.6/23,10.29.224.6/24,10.29.224.6/24,10.32.248.6/23,10.32.248.6/23,10.112.120.6/22,10.112.120.6/22,10.207.144.6/22,10.207.144.6/22,10.131.0.6/21,10.131.0.6/21,10.47.16.6/20,10.47.16.6/20,10.115.200.6/21,10.115.200.6/21,10.87.216.6/21,10.87.216.6/21,10.88.64.6/24,10.88.64.6/24,10.194.192.6/24,10.194.192.6/24,10.206.200.6/21,10.206.200.6/21,10.100.108.6/22,10.100.108.6/22
$eth4,ip-netmask,10.20.252.6/23,10.20.252.6/23,10.25.252.6/23,10.25.252.6/23,10.230.108.6/23,10.230.108.6/23,10.34.56.6/23,10.34.56.6/23,10.61.252.6/23,10.61.252.6/23,10.23.160.6/23,10.23.160.6/23,10.49.252.6/23,10.49.252.6/23,10.61.114.6/23,10.61.114.6/23,10.197.0.6/23,10.197.0.6/23,10.45.8.6/23,10.45.8.6/23,10.17.252.6/23,10.17.252.6/23,10.193.0.6/23,10.193.0.6/23,10.55.0.6/23,10.55.0.6/23,10.50.0.6/23,10.50.0.6/23,10.190.0.6/23,10.190.0.6/23,10.88.252.6/23,10.88.252.6/23,10.25.248.6/23,10.25.248.6/23,10.47.0.6/23,10.47.0.6/23,10.177.0.6/23,10.177.0.6/23,10.198.252.6/23,10.198.252.6/23,10.200.0.6/23,10.200.0.6/23,10.27.80.6/23,10.27.80.6/23,10.27.86.6/23,10.27.86.6/23,10.227.144.6/24,10.227.144.6/24,10.227.44.6/24,10.227.44.6/24,10.73.8.6/23,10.73.8.6/23,10.23.164.1/23,10.23.164.1/23,10.26.208.6/23,10.26.208.6/23,10.90.8.6/23,10.90.8.6/23,10.130.64.6/23,10.130.64.6/23,10.121.172.6/22,10.121.172.6/22,10.76.8.6/23,10.76.8.6/23,10.58.6.6/23,10.58.6.6/23,10.108.48.6/23,10.108.48.6/23,10.38.16.6/23,10.38.16.6/23,10.41.16.6/23,10.41.16.6/23,10.50.2.6/23,10.50.2.6/23,10.55.2.6/23,10.55.2.6/23,10.20.254.6/23,10.20.254.6/23,10.58.232.6/21,10.58.232.6/21,10.236.128.6/23,10.236.128.6/23,10.131.12.6/23,10.131.12.6/23,10.49.254.6/23,10.49.254.6/23,10.115.184.6/23,10.115.184.6/23,10.87.212.6/23,10.87.212.6/23,10.88.254.6/23,10.88.254.6/23,10.112.250.6/23,10.112.250.6/23,10.236.132.6/23,10.236.132.6/23,10.115.186.6/23,10.115.186.6/23
$GroupID,group-id,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,35,35,36,36,37,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51
$HA1_Peer,ip-netmask,192.168.208.65,192.168.208.66,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.65,192.168.208.66,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65
$HA1_Peer_Backup,ip-netmask,10.20.208.7,10.20.208.8,10.25.16.7,10.25.16.8,10.230.128.7,10.230.128.8,10.34.192.7,10.34.192.8,10.61.128.7,10.61.128.8,10.23.192.7,10.23.192.8,10.49.66.7,10.49.66.8,10.61.112.7,10.61.112.8,10.197.176.7,10.197.176.8,10.45.128.7,10.45.128.8,10.17.104.7,10.17.104.8,10.193.128.7,10.193.128.8,10.55.144.7,10.55.144.8,10.50.144.7,10.50.144.8,10.190.56.7,10.190.56.8,10.88.208.7,10.88.208.8,10.30.232.7,10.30.232.8,10.47.112.7,10.47.112.8,10.177.216.7,10.177.216.8,10.198.0.7,10.198.0.8,10.200.64.7,10.200.64.8,10.27.0.7,10.27.0.8,10.27.184.7,10.27.184.8,10.251.150.90,10.251.150.91,10.251.22.90,10.251.22.91,10.73.210.7,10.73.210.8,10.23.168.7,10.23.168.8,10.26.192.7,10.26.192.8,10.90.128.7,10.90.128.8,10.130.32.10,10.130.32.11,10.121.127.13,10.121.127.14,10.74.240.7,10.74.240.8,10.75.32.7,10.75.32.8,10.185.208.7,10.185.208.8,10.36.232.7,10.36.232.8,10.109.200.7,10.109.200.8,10.29.136.7,10.29.136.8,10.29.224.7,10.29.224.8,10.32.248.7,10.32.248.8,10.112.120.7,10.112.120.8,10.207.144.7,10.207.144.8,10.131.0.7,10.131.0.8,10.47.16.7,10.47.16.8,10.115.200.7,10.115.200.8,10.87.216.7,10.87.216.8,10.88.64.7,10.88.64.8,10.194.192.7,10.194.192.8,10.206.200.7,10.206.200.8,10.100.108.7,10.100.108.8
$Device_Priority,device-priority,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90,100,90
$HA1_IP,ip-netmask,192.168.208.66,192.168.208.65,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.66,192.168.208.65,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66,192.168.208.65,192.168.208.66
$DNS_Server1,ip-netmask,10.20.212.50,10.20.212.50,10.25.46.50,10.25.46.50,10.230.206.50,10.230.206.50,10.34.248.45,10.34.248.45,10.61.142.50,10.61.142.50,10.23.208.50,10.23.208.50,10.49.102.50,10.49.102.50,10.61.110.39,10.61.110.39,10.197.206.50,10.197.206.50,10.45.54.50,10.45.54.50,10.17.180.55,10.17.180.55,10.193.178.55,10.193.178.55,10.55.118.50,10.55.118.50,10.50.242.50,10.50.242.50,10.190.63.254,10.190.63.254,10.88.215.254,10.88.215.254,10.31.132.50,10.31.132.50,10.47.119.254,10.47.119.254,10.177.218.50,10.177.218.50,10.198.52.50,10.198.52.50,10.200.98.50,10.200.98.50,10.27.28.50,10.27.28.50,10.27.185.50,10.27.185.50,10.27.185.50,10.27.185.50,10.241.60.83,10.241.60.83,10.73.222.50,10.73.222.50,10.23.168.50,10.23.168.50,10.26.192.50,10.26.192.50,10.90.135.254,10.90.135.254,10.130.32.50,10.130.32.50,10.120.1.60,10.120.1.60,10.74.244.55,10.74.244.55,10.75.33.7,10.75.33.7,10.185.238.50,10.185.238.50,10.37.148.55,10.37.148.55,10.109.200.89,10.109.200.89,10.29.172.50,10.29.172.50,10.30.72.50,10.30.72.50,10.33.16.43,10.33.16.43,10.112.122.100,10.112.122.100,10.207.144.54,10.207.144.54,10.131.0.50,10.131.0.50,10.47.228.50,10.47.228.50,10.115.200.50,10.115.200.50,10.87.216.128,10.87.216.128,10.88.52.50,10.88.52.50,10.194.208.50,10.194.208.50,10.206.200.60,10.206.200.60,10.100.108.49,10.100.108.49
$DNS_Server2,ip-netmask,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,10.115.200.79,10.115.200.79,156.134.176.79,156.134.176.79,10.115.200.79,10.115.200.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79,156.134.176.79
$Default_Route,ip-netmask,10.20.208.1,10.20.208.1,10.25.16.1,10.25.16.1,10.230.128.1,10.230.128.1,10.34.192.1,10.34.192.1,10.61.128.1,10.61.128.1,10.23.192.1,10.23.192.1,10.49.66.1,10.49.66.1,10.61.112.1,10.61.112.1,10.197.176.1,10.197.176.1,10.45.128.1,10.45.128.1,10.17.104.1,10.17.104.1,10.193.128.1,10.193.128.1,10.55.144.1,10.55.144.1,10.50.144.1,10.50.144.1,10.190.56.1,10.190.56.1,10.88.208.1,10.88.208.1,10.30.232.1,10.30.232.1,10.47.112.1,10.47.112.1,10.177.216.1,10.177.216.1,10.198.0.1,10.198.0.1,10.200.64.1,10.200.64.1,10.27.0.1,10.27.0.1,10.27.184.1,10.27.184.1,10.227.186.1,10.227.186.1,10.227.36.1,10.227.36.1,10.73.210.1,10.73.210.1,10.23.168.1,10.23.168.1,10.26.192.1,10.26.192.1,10.90.128.1,10.90.128.1,10.130.32.1,10.130.32.1,10.121.127.1,10.121.127.1,10.74.240.1,10.74.240.1,10.75.32.1,10.75.32.1,10.185.208.1,10.185.208.1,10.36.232.1,10.36.232.1,10.109.200.1,10.109.200.1,10.29.136.1,10.29.136.1,10.29.224.1,10.29.224.1,10.32.248.1,10.32.248.1,10.112.120.1,10.112.120.1,10.207.144.1,10.207.144.1,10.131.0.1,10.131.0.1,10.47.16.1,10.47.16.1,10.115.200.1,10.115.200.1,10.87.216.1,10.87.216.1,10.88.64.1,10.88.64.1,10.194.192.1,10.194.192.1,10.206.200.1,10.206.200.1,10.100.108.1,10.100.108.1
$Router_ID,ip-netmask,10.248.252.3,10.248.252.3,10.248.252.12,10.248.252.12,10.248.253.6,10.248.253.6,10.248.252.9,10.248.252.9,10.248.254.6,10.248.254.6,10.248.253.3,10.248.253.3,10.248.255.3,10.248.255.3,10.248.253.9,10.248.253.9,10.248.254.3,10.248.254.3,10.248.255.27,10.248.255.27,10.248.255.24,10.248.255.24,10.248.254.15,10.248.254.15,10.248.255.9,10.248.255.9,10.248.255.18,10.248.255.18,10.248.255.15,10.248.255.15,10.248.255.6,10.248.255.6,10.248.252.6,10.248.252.6,10.248.255.12,10.248.255.12,10.248.255.21,10.248.255.21,10.248.254.9,10.248.254.9,10.248.254.18,10.248.254.18,10.248.254.21,10.248.254.21,10.248.254.24,10.248.254.24,10.227.186.27,10.227.186.27,10.227.36.27,10.227.36.27,10.248.252.15,10.248.252.15,10.248.253.12,10.248.253.12,10.248.254.27,10.248.254.27,10.248.254.12,10.248.254.12,10.248.52.3,10.248.52.3,10.248.253.15,10.248.253.15,10.248.254.42,10.248.254.42,10.248.254.57,10.248.254.57,10.248.253.21,10.248.253.21,10.248.254.33,10.248.254.33,10.248.253.18,10.248.253.18,10.248.255.36,10.248.255.36,10.248.255.39,10.248.255.39,10.248.252.18,10.248.252.18,10.248.254.54,10.248.254.54,10.248.255.30,10.248.255.30,10.248.52.6,10.248.52.6,10.248.255.33,10.248.255.33,10.248.52.9,10.248.52.9,10.248.254.39,10.248.254.39,10.248.255.42,10.248.255.42,10.248.254.63,10.248.254.63,10.248.255.48,10.248.255.48,10.248.52.12,10.248.52.12
$router_LB1,ip-netmask,10.248.252.1/32,10.248.252.1/32,10.248.252.10/32,10.248.252.10/32,10.248.253.4/32,10.248.253.4/32,10.248.252.7/32,10.248.252.7/32,10.248.254.4/32,10.248.254.4/32,10.248.253.1/32,10.248.253.1/32,10.248.255.1/32,10.248.255.1/32,10.248.253.7/32,10.248.253.7/32,10.248.254.1/32,10.248.254.1/32,10.248.255.25/32,10.248.255.25/32,10.248.255.22/32,10.248.255.22/32,10.248.254.13/32,10.248.254.13/32,10.248.255.7/32,10.248.255.7/32,10.248.255.16/32,10.248.255.16/32,10.248.255.13/32,10.248.255.13/32,10.248.255.4/32,10.248.255.4/32,10.248.252.4/32,10.248.252.4/32,10.248.255.10/32,10.248.255.10/32,10.248.255.19/32,10.248.255.19/32,10.248.254.7/32,10.248.254.7/32,10.248.254.16/32,10.248.254.16/32,10.248.254.19/32,10.248.254.19/32,10.248.254.22/32,10.248.254.22/32,10.227.179.72/32,10.227.179.72/32,10.227.29.72/32,10.227.29.72/32,10.248.252.13/32,10.248.252.13/32,10.248.253.10/32,10.248.253.10/32,10.248.254.25/32,10.248.254.25/32,10.248.254.10/32,10.248.254.10/32,10.248.52.1/32,10.248.52.1/32,10.248.253.13/32,10.248.253.13/32,10.248.254.40/32,10.248.254.40/32,10.248.254.55/32,10.248.254.55/32,10.248.253.19/32,10.248.253.19/32,10.248.254.31/32,10.248.254.31/32,10.248.253.16/32,10.248.253.16/32,10.248.255.34/32,10.248.255.34/32,10.248.255.37/32,10.248.255.37/32,10.248.252.16/32,10.248.252.16/32,10.248.254.52/32,10.248.254.52/32,10.248.255.28/32,10.248.255.28/32,10.248.52.4/32,10.248.52.4/32,10.248.255.31/32,10.248.255.31/32,10.248.52.7/32,10.248.52.7/32,10.248.254.37/32,10.248.254.37/32,10.248.255.40/32,10.248.255.40/32,10.248.254.61/32,10.248.254.61/32,10.248.255.46/32,10.248.255.46/32,10.248.52.10/32,10.248.52.10/32
$router_LB2,ip-netmask,10.248.252.2/32,10.248.252.2/32,10.248.252.11/32,10.248.252.11/32,10.248.253.5/32,10.248.253.5/32,10.248.252.8/32,10.248.252.8/32,10.248.254.5/32,10.248.254.5/32,10.248.253.2/32,10.248.253.2/32,10.248.255.2/32,10.248.255.2/32,10.248.253.8/32,10.248.253.8/32,10.248.254.2/32,10.248.254.2/32,10.248.255.26/32,10.248.255.26/32,10.248.255.23/32,10.248.255.23/32,10.248.254.14/32,10.248.254.14/32,10.248.255.8/32,10.248.255.8/32,10.248.255.17/32,10.248.255.17/32,10.248.255.14/32,10.248.255.14/32,10.248.255.5/32,10.248.255.5/32,10.248.252.5/32,10.248.252.5/32,10.248.255.11/32,10.248.255.11/32,10.248.255.20/32,10.248.255.20/32,10.248.254.8/32,10.248.254.8/32,10.248.254.17/32,10.248.254.17/32,10.248.254.20/32,10.248.254.20/32,10.248.254.23/32,10.248.254.23/32,10.227.179.73/32,10.227.179.73/32,10.227.29.73/32,10.227.29.73/32,10.248.252.14/32,10.248.252.14/32,10.248.253.11/32,10.248.253.11/32,10.248.254.26/32,10.248.254.26/32,10.248.254.11/32,10.248.254.11/32,10.248.52.2/32,10.248.52.2/32,10.248.253.14/32,10.248.253.14/32,10.248.254.41/32,10.248.254.41/32,10.248.254.56/32,10.248.254.56/32,10.248.253.20/32,10.248.253.20/32,10.248.254.32/32,10.248.254.32/32,10.248.253.17/32,10.248.253.17/32,10.248.255.35/32,10.248.255.35/32,10.248.255.38/32,10.248.255.38/32,10.248.252.17/32,10.248.252.17/32,10.248.254.53/32,10.248.254.53/32,10.248.255.29/32,10.248.255.29/32,10.248.52.5/32,10.248.52.5/32,10.248.255.32/32,10.248.255.32/32,10.248.52.8/32,10.248.52.8/32,10.248.254.38/32,10.248.254.38/32,10.248.255.41/32,10.248.255.41/32,10.248.254.62/32,10.248.254.62/32,10.248.255.47/32,10.248.255.47/32,10.248.52.11/32,10.248.52.11/32
$Route1,ip-netmask,10.20.252.2,10.20.252.2,10.25.252.2,10.25.252.2,10.230.108.2,10.230.108.2,10.34.56.2,10.34.56.2,10.61.252.2,10.61.252.2,10.23.160.2,10.23.160.2,10.49.252.2,10.49.252.2,10.61.114.2,10.61.114.2,10.197.0.2,10.197.0.2,10.45.8.2,10.45.8.2,10.17.252.2,10.17.252.2,10.193.0.2,10.193.0.2,10.55.0.2,10.55.0.2,10.50.0.2,10.50.0.2,10.190.0.2,10.190.0.2,10.88.252.2,10.88.252.2,10.25.248.2,10.25.248.2,10.47.0.2,10.47.0.2,10.177.0.2,10.177.0.2,10.198.252.2,10.198.252.2,10.200.0.2,10.200.0.2,10.27.80.2,10.27.80.2,10.27.86.2,10.27.86.2,10.227.144.2,10.227.144.2,10.227.44.2,10.227.44.2,10.73.8.2,10.73.8.2,10.23.164.2,10.23.164.2,10.26.208.2,10.26.208.2,10.90.8.2,10.90.8.2,10.130.64.2,10.130.64.2,10.121.172.2,10.121.172.2,10.76.8.2,10.76.8.2,10.58.6.2,10.58.6.2,10.108.48.2,10.108.48.2,10.38.16.2,10.38.16.2,10.41.16.2,10.41.16.2,10.50.2.2,10.50.2.2,10.55.2.2,10.55.2.2,10.20.254.2,10.20.254.2,10.58.196.2,10.58.196.2,10.236.128.2,10.236.128.2,10.131.12.2,10.131.12.2,10.49.254.2,10.49.254.2,10.115.184.2,10.115.184.2,10.87.212.2,10.87.212.2,10.88.254.2,10.88.254.2,10.112.250.2,10.112.250.2,10.236.132.2,10.236.132.2,10.115.186.2,10.115.186.2
$Route2,ip-netmask,10.20.252.3,10.20.252.3,10.25.252.3,10.25.252.3,10.230.108.3,10.230.108.3,10.34.56.3,10.34.56.3,10.61.252.3,10.61.252.3,10.23.160.3,10.23.160.3,10.49.252.3,10.49.252.3,10.61.114.3,10.61.114.3,10.197.0.3,10.197.0.3,10.45.8.3,10.45.8.3,10.17.252.3,10.17.252.3,10.193.0.3,10.193.0.3,10.55.0.3,10.55.0.3,10.50.0.3,10.50.0.3,10.190.0.3,10.190.0.3,10.88.252.3,10.88.252.3,10.25.248.3,10.25.248.3,10.47.0.3,10.47.0.3,10.177.0.3,10.177.0.3,10.198.252.3,10.198.252.3,10.200.0.3,10.200.0.3,10.27.80.3,10.27.80.3,10.27.86.3,10.27.86.3,10.227.144.3,10.227.144.3,10.227.44.3,10.227.44.3,10.73.8.3,10.73.8.3,10.23.164.3,10.23.164.3,10.26.208.3,10.26.208.3,10.90.8.3,10.90.8.3,10.130.64.3,10.130.64.3,10.121.172.3,10.121.172.3,10.76.8.3,10.76.8.3,10.58.6.3,10.58.6.3,10.108.48.3,10.108.48.3,10.38.16.3,10.38.16.3,10.41.16.3,10.41.16.3,10.50.2.3,10.50.2.3,10.55.2.3,10.55.2.3,10.20.254.3,10.20.254.3,10.58.196.3,10.58.196.3,10.236.128.3,10.236.128.3,10.131.12.3,10.131.12.3,10.49.254.3,10.49.254.3,10.115.184.3,10.115.184.3,10.87.212.3,10.87.212.3,10.88.254.3,10.88.254.3,10.112.250.3,10.112.250.3,10.236.132.3,10.236.132.3,10.115.186.3,10.115.186.3
